feature,beta_s1,beta_s2,beta_s4,odds_ratio_s1,odds_ratio_s2,odds_ratio_s4
W_y_lag1,0.3663814370541148,0.32639243353334596,0.17635667508382435,1.4425053627258593,1.3859591590149078,1.1928634474534778
fe_area_Campo Grande: Estação de Trem - Calçadão,-1.254818848066158,-1.2538507749685266,-1.2762152675032503,0.28512749494346135,0.28540365284966385,0.27909159110508464
fe_area_Estações São Francisco Xavier - Afonso Pena,0.20962048583484813,0.22058922187865132,0.25158207303597035,1.2332099504904577,1.2468111626099807,1.2860584464537224
fe_area_Jardim de Alah,-0.25019700190904437,-0.24974805184965715,-0.23972484241047573,0.7786473729419149,0.778997025208569,0.7868443374738545
fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,-0.14031717623634504,-0.13209303816480794,-0.11700316917742308,0.8690825393500953,0.8762594657141752,0.8895823739145686
fe_area_Praia de Botafogo - Rua Marquês de Abrantes,-0.2597822412461136,-0.25786467670875224,-0.245384013389837,0.7712195073185993,0.772699789310892,0.7824040269227752
fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,0.4014674775236976,0.43429014724478576,0.5146947931803713,1.4940155239553827,1.5438667518215907,1.6731277738559776
fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,-0.3649633653555663,-0.36074403884748235,-0.3405953611994937,0.6942220829912962,0.697157420848226,0.7113466884497154
fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás,-0.09136789046796195,-0.08027892280306659,-0.07476805653618392,0.9126818821642284,0.9228589040926772,0.9279586953234998
is_holiday_week,-0.057329946493125596,-0.021321392271649763,-0.11304057971087432,0.9442824552767237,0.978904301729805,0.8931144170558323
n_cameras,-0.0030264907807693734,-0.0030329035872562614,-0.0036769356357721026,0.9969780844256831,0.9969716910186559,0.9963298160144001
n_cameras_ring1,0.008393670932782041,0.00857734380759046,0.009100618381232588,1.0084289965566942,1.008614234620615,1.009142154915793
n_crimes_12w,0.09964799642334503,0.09564912577160349,0.0944399766743858,1.104781962420577,1.100372903757549,1.0990431929257012
n_dd_lag1,0.07415417862403145,-0.1492308473761202,-0.005785931724641599,1.07697283888691,0.8613702468844004,0.99423077454235
n_fat_calcada,0.054043454021888745,0.05573716218061897,0.056078166956332116,1.0555304682026103,1.057319743595826,1.0576803561596566
n_fat_ilum,0.009173712254711926,0.012069079636312267,0.008225531102241366,1.009215919720632,1.0121422048665725,1.0082594537299514
n_fat_lixo,0.028414015508156296,0.03344510316791022,0.03728589870833561,1.0288215443335174,1.0340106782575873,1.0379897383460186
n_fat_mobil,-0.005290149999851201,-0.0005483006215193442,-0.005517910297818755,0.994723818201511,0.9994518496677973,0.9944972854068497
n_fat_sitrua,0.002770151921381981,0.002922721646454733,0.0022047115529027304,1.0027739923375758,1.0029269969615366,1.0022071437164963
n_fat_transito,0.08948371147428986,0.08897750163601024,0.09037961761056991,1.0936095198804925,1.0930560640764977,1.0945897303827858
n_fat_vegetac,0.00782664462400987,0.0032331838050519922,0.008418197184198641,1.0078573528689392,1.003238416181369,1.0084537298431058
orcrim_CV,-1.9029090261395103,-1.8904399800169744,-1.9084855539016274,0.14913415244366146,0.15100535487963318,0.14830481625960706
orcrim_Milícia,0.6360762695716251,0.6219927042189941,0.657984940857132,1.889054179284661,1.8626360288317962,1.9308975388586178
orcrim_TCP,-0.42498047201665007,-0.42605269897339143,-0.47588642829553635,0.6537825520599818,0.6530819244668361,0.6213340442069067
week_cos,0.042616655934040105,0.034309514251930254,0.02729805566734552,1.0435377841483224,1.0349048749699639,1.0276740611983153
week_sin,-0.05287647141155009,-0.05624991509836321,-0.05538787063858213,0.9484971717626656,0.9453028609098162,0.9461181053418664
y_lag1,0.2345636819867068,0.2075889392234844,0.22240767032554964,1.2643569866369087,1.2307071701127221,1.2490804871316887
y_lag12,0.019468327847867634,0.08104943803651261,0.06983602922456243,1.0196590715519929,1.0844245070599259,1.0723323356732353
y_lag2,0.18531835784034154,0.21093929421532867,0.19939904841820388,1.2036015551323505,1.2348373910132788,1.2206689747468782
y_lag4,0.18082254501871423,0.17342978725642694,0.10985223921798039,1.1982025334180786,1.1893771744032686,1.116113140523617
